Region,Year,Sex,enroll_n,enrollage_mean,enrollage_sd,enrollage_median,enrollage_p25,enrollage_p75
SA,2021,ALL,37266,34.5448934685773,10.0749977061904,33,27,40
SA,2022,ALL,25090,35.6708250298924,10.3963395077932,34,28,42
SA,2023,ALL,11177,36.6219021204259,10.837075792664,35,28,43
SA,2024,ALL,371,35.1698113207547,10.2409223991751,33,27,41
SA,ALL,Male,356494,37.8973923824805,9.61677226588017,37,31,43
SA,ALL,Female,586865,33.5279834374175,9.62562889500531,32,26,39
SA,2006,Male,13728,38.714087995338,9.20802382330266,37,32,44
SA,2006,Female,22658,34.7028422632183,8.88635997510772,33,28,40
SA,2007,Male,16770,38.1802623732856,9.24435241507314,37,32,44
SA,2007,Female,27642,34.1562839157803,9.08059347560753,33,27,39
SA,2008,Male,17621,38.5678451847228,9.36185822322123,37,32,44
SA,2008,Female,28739,34.3118062563068,9.25901987023366,33,27,39
SA,2009,Male,20490,38.4477794045876,9.33332043896827,37,32,44
SA,2009,Female,33260,34.3304269392664,9.31602469850807,33,27,39
SA,2010,Male,20981,38.2308755540727,9.40444299704429,37,31,44
SA,2010,Female,34480,34.1932714617169,9.43129845853536,32,27,39
SA,2011,Male,21581,38.3649506510356,9.61955079951505,37,32,44
SA,2011,Female,35679,34.3080523557275,9.64723254124548,32,27,39
SA,2012,Male,20956,38.1400076350449,9.49433823324071,37,31,43
SA,2012,Female,33643,33.9120768064679,9.51201906660967,32,27,39
SA,2013,Male,21569,38.2373777180212,9.59021428526313,37,31,44
SA,2013,Female,35924,33.528393274691,9.6212001673889,32,26,38
SA,2014,Male,22114,37.9043592294474,9.6230701175053,37,31,43
SA,2014,Female,39275,33.0433099936346,9.50879086289143,31,26,38
SA,2015,Male,22703,37.6958992203674,9.54382961131352,37,31,43
SA,2015,Female,39859,32.8402619232796,9.64643141843035,31,26,38
SA,2016,Male,24270,37.8793160280181,9.64042967952519,37,31,44
SA,2016,Female,42090,33.2788310762651,9.81387726621542,31,26,39
SA,2017,Male,30417,37.4822303317224,9.7196272992375,36,30,43
SA,2017,Female,50503,33.1712373522365,9.81917935996655,31,26,38
SA,2018,Male,29528,37.2045177458683,9.75159333503889,36,30,43
SA,2018,Female,48803,32.8551523471918,9.81232550067127,31,25,38
SA,2019,Male,25015,37.1840495702578,9.76138238483393,36,30,43
SA,2019,Female,37819,32.9359845580264,9.76837359590424,31,26,38
SA,2020,Male,19966,37.0678653711309,9.74227118565542,36,30,43
SA,2020,Female,31372,32.7626545964554,9.57450367678782,31,26,38
SA,2021,Male,14097,37.2946726253813,9.8341306459416,36,30,43
SA,2021,Female,23169,32.8718114722258,9.85025415454886,31,26,38
SA,2022,Male,9925,38.5093198992443,10.150035232779,38,31,45
SA,2022,Female,15165,33.8131223211342,10.1330257478075,32,26,39
SA,2023,Male,4625,39.264,10.2981993588492,38,32,45
SA,2023,Female,6552,34.7568681318681,10.8209056847053,33,26,41
SA,2024,Male,138,37.2028985507246,9.25720033057705,36.5,30,43
SA,2024,Female,233,33.9656652360515,10.6179185979629,32,26,39
WA,ALL,ALL,42369,37.2731006160164,9.75561335328987,36,30,43
WA,2006,ALL,3567,36.3411830670031,8.99076893405937,35,30,42
WA,2007,ALL,3904,36.4075307377049,9.0309431712425,35,30,42
WA,2008,ALL,4063,36.3504799409303,9.11393115802149,35,30,42
WA,2009,ALL,4034,36.4762022806148,9.04601860602855,35,30,42
WA,2010,ALL,3612,36.8676633444075,9.4048713062179,35,30,43
WA,2011,ALL,3196,36.8463704630788,9.3766527873898,35,30,43
WA,2012,ALL,3030,37.2386138613861,9.49449428090414,36,30,43
WA,2013,ALL,3001,37.5644785071643,9.52064026924072,36,30,44
WA,2014,ALL,2274,37.9283201407212,9.5753504708755,37,31,44
WA,2015,ALL,1816,39.3805066079295,10.3921476483912,38,31,46
WA,2016,ALL,1548,39.4806201550388,10.1328096954215,39,32,46
WA,2017,ALL,1207,39.7779618889809,10.1036294558425,39,32,46
WA,2018,ALL,1079,39.9981464318814,10.6211535127514,39,32,47
WA,2019,ALL,1204,39.8289036544851,10.6957762405175,39,32,46.25
WA,2020,ALL,1823,36.7981349424026,11.3167088821134,36,28,44
WA,2021,ALL,1467,36.2447171097478,10.904119731541,34,28,43
WA,2022,ALL,1073,37.1295433364399,11.322650718252,36,28,44
WA,2023,ALL,465,38.2365591397849,11.8263275203135,37,29,45
WA,2024,ALL,*,*,*,*,*,*
WA,ALL,Male,15331,40.0686191376949,9.84921483113086,40,33,46
WA,ALL,Female,27038,35.6879946741623,9.33761380990626,34,29,41
WA,2006,Male,1229,40.3100081366965,8.56860068336385,40,35,45
WA,2006,Female,2338,34.2549187339607,8.49269283523991,33,28,39
WA,2007,Male,1307,40.495791889824,8.49946970940169,40,35,46
WA,2007,Female,2597,34.3500192529842,8.58059840065613,33,28,39
WA,2008,Male,1334,40.3448275862069,8.6433622746366,39.5,34,46
WA,2008,Female,2729,34.397947966288,8.69261299692447,33,28,39
WA,2009,Male,1322,40.7760968229955,8.53995927156771,40,35,46
WA,2009,Female,2712,34.3801622418879,8.53147562004854,33,28,39
WA,2010,Male,1190,41.1848739495798,8.98261697277806,40,35,47
WA,2010,Female,2422,34.7464905037159,8.86784763471755,33,28,39
WA,2011,Male,1069,41.155285313377,9.04960438630716,41,35,46
WA,2011,Female,2127,34.6807710390221,8.77282652285677,33,28,39
WA,2012,Male,969,40.8761609907121,9.11707253964031,40,35,46
WA,2012,Female,2061,35.528384279476,9.18365975866578,34,29,41
WA,2013,Male,1018,40.6974459724951,9.5421650491129,40,34,47
WA,2013,Female,1983,35.9561270801815,9.10210006306292,35,29,41
WA,2014,Male,804,41.3258706467662,9.61595174091574,40,35,47
WA,2014,Female,1470,36.0700680272109,9.03053525809992,35,30,41
WA,2015,Male,638,43.0329153605016,10.2580755627107,42.5,36,50
WA,2015,Female,1178,37.402376910017,9.92166742916207,36,30,43
WA,2016,Male,554,42.1750902527076,10.1507637180931,42,35,49
WA,2016,Female,994,37.9788732394366,9.81154530576287,37,31,44
WA,2017,Male,448,41.8928571428571,9.74195671708373,41,35,48
WA,2017,Female,759,38.5296442687747,10.1117165382966,37,31,45
WA,2018,Male,409,42.3129584352078,10.3393334872952,42,35,49
WA,2018,Female,670,38.5850746268657,10.5500905532614,38,30,45
WA,2019,Male,442,41.6696832579185,11.1407989303495,42,34,49
WA,2019,Female,762,38.761154855643,10.2863425894841,38,31,45
WA,2020,Male,951,35.2008412197687,11.6264960249389,32,25,44
WA,2020,Female,872,38.5401376146789,10.7069617567921,38,31,45
